InvoiceNo,ProductCount
536596,6
536938,14
537252,1
537691,20
538041,1
538184,26
538517,53
538879,19
539275,6
539630,12
536597,28
536608,3
536765,1
537439,1
537631,1
537870,1
538142,1
538177,534
538308,16
539064,6
539570,14
540184,6
536414,1
537246,7
537256,11
537634,18
537871,25
537874,1
538365,20
538558,34
C539068,1
539075,38
539242,9
539298,9
540003,22
537111,23
537350,12
537467,18
537469,1
537666,536
538001,1
538092,1
C538798,1
539085,3
539752,16
536550,1
C537805,9
537878,1
C538103,1
538851,16
539098,19
539332,1
C539710,2
539727,4
536943,28
537051,42
537141,44
C537600,1
537614,30
C538105,2
C538711,1
540121,17
540241,1
536460,14
C537445,1
538627,7
538724,1
539379,12
539406,1
539708,119
539718,137
539721,1
539980,1
540043,16
536626,1
536968,2
537049,14
537054,41
537476,3
538148,111
538310,2
538419,37
538504,18
538510,40
538513,25
539081,1
536603,2
536619,2
536798,31
538635,53
539002,29
540182,6
536398,17
537228,1
537449,1
538046,1
C538059,14
538521,17
538630,54
538645,16
538810,25
539009,35
539414,40
539487,10
539688,1
536523,12
536759,17
537081,25
538280,11
539038,20
539494,1
540116,2
C536827,1
537016,1
537212,30
537761,1
537883,5
538526,4
C538717,1
538993,6
539353,22
536374,1
537298,9
538638,52
538668,2
536688,2
536956,15
537126,118
537436,1
537760,4
538905,15
540016,11
536386,3
536627,14
537675,1
538172,11
538199,29
538639,20
C538763,1
C539072,2
539094,7
539334,10
540245,7
536612,15
537014,1
537133,55
537636,3
C539253,1
539290,16
539328,8
539404,27
539989,1
536577,4
C536820,4
C538680,1
538910,9
539201,13
539281,30
539311,15
539324,50
539453,458
536803,1
536842,11
538358,6
C538375,1
539488,43
539733,13
536477,14
537605,12
539016,15
539591,1
539724,1
539742,36
540100,1
C540156,1
C536817,2
537368,15
537653,37
538051,29
538078,26
538208,26
538509,23
536583,1
536844,3
537245,3
537412,1
537655,8
538037,5
C538350,26
539755,6
540040,13
C540171,1
536528,57
536585,1
537243,2
537804,13
537826,21
539091,5
539641,8
539858,3
539951,7
539749,1
536366,2
536834,1
537351,32
537354,38
C537373,1
538247,1
538722,20
539446,30
539734,1
539762,1
C539944,1
536592,592
C536757,1
536992,1
C538119,3
539032,5
540099,41
C540152,1
536541,1
C536807,2
537435,14
C537652,1
537693,11
537818,53
537884,6
538045,1
538307,39
538409,9
538685,1
539740,66
540240,28
536387,5
536640,11
536671,5
538169,13
C539573,1
C539575,3
539731,54
536971,8
537195,33
537207,23
C538083,2
538131,1
538161,1
538379,62
C539104,1
C539945,4
540001,9
536385,7
C537408,2
537896,14
538036,1
538306,1
538867,1
539305,20
540149,24
536375,16
536779,1
537139,3
C537812,2
537827,1
C538377,2
539475,86
536733,14
536804,25
537013,1
538210,32
538687,5
538753,6
539312,3
539567,1
540168,52
536555,2
537632,1
C537656,1
537839,9
538137,1
538211,8
538473,14
539196,35
536403,2
C536818,1
536845,29
537077,26
C537203,2
537618,16
538354,68
538523,24
539216,2
540180,12
537468,20
537534,58
538156,37
538309,3
538665,10
538706,13
538850,9
539662,4
539750,190
C536734,2
536957,13
537050,51
538134,1
538195,2
538636,41
538811,32
538871,6
538945,22
539217,24
539470,36
C536548,14
536739,12
536787,13
537378,20
537683,20
537868,74
538094,11
C538684,3
C538755,1
539001,1
539283,13
539633,3
540098,57
540146,25
C540244,2
C536625,1
537231,18
538832,25
539047,8
539325,23
536535,12
536786,2
C536828,2
537055,15
537135,117
537312,9
537458,13
537484,28
C537834,3
537844,38
537864,14
C538098,1
C538694,1
539321,47
537248,4
537390,8
537689,17
538827,89
539323,3
C539719,3
536367,12
536371,1
536558,1
536796,121
C536815,2
C536854,3
537764,45
C537860,21
538106,13
C538704,1
538890,54
538992,29
539185,39
539326,14
539401,7
C540030,1
539316,5
536377,2
536752,19
C536853,1
537026,12
537138,33
538003,20
538165,3
538188,1
538708,18
538778,9
538999,20
539450,29
539492,283
540148,22
537641,79
537690,15
537875,1
C538803,3
C538806,1
538873,1
C538882,3
540227,1
536389,14
536764,1
536836,27
536989,22
537041,26
C537143,1
537155,33
537419,14
537669,9
537891,5
538061,1
538166,17
538192,1
538470,2
539263,21
539720,3
540004,1
540032,8
536395,14
536813,17
C537398,1
538079,17
C538102,1
C538701,1
C539287,2
540161,16
536632,21
536865,140
537658,3
C537756,3
537829,19
538074,1
C538698,1
C538742,1
C539195,1
540017,13
537018,1
537456,2
537640,149
538170,25
538519,6
538870,5
C539598,2
540170,5
540238,91
539315,11
536407,2
C537251,20
537606,31
538998,15
539093,2
540027,22
536588,11
537205,11
537433,4
537833,1
538182,10
C538595,1
C539059,1
539442,15
539582,1
536564,2
537136,37
C537807,4
538076,14
C538082,1
C538088,1
538525,20
538808,43
539017,1
C539271,1
539460,1
539480,4
540022,10
C536826,2
537163,21
537361,1
537668,2
537775,45
537862,7
538005,3
538133,1
538135,1
538157,12
C538691,1
538709,46
540242,29
539319,4
536780,4
537211,16
537464,28
538097,15
539954,3
536846,76
536995,1
537221,7
537423,6
537599,1
537781,161
538039,1
538327,22
538418,46
538830,5
538831,4
C538889,1
539336,4
539595,267
C539601,1
C539827,1
539958,512
536521,1
536617,11
537042,52
537131,38
537385,13
537420,18
537682,4
539481,2
539309,19
537140,39
